pair,measured_cm,true_cm,offset_cm,samples
A0-A1,477.0,400.0,77.0,13
A0-A2,525.0,283.0,242.0,17
A0-A3,314.0,200.0,114.0,17
A0-A4,657.0,283.0,374.0,17
A0-A5,342.0,447.0,-105.0,33
A0-A6,515.0,200.0,315.0,17
A0-A7,366.0,200.0,166.0,19
A0-A8,544.0,447.0,97.0,100
A0-A9,262.0,600.0,-338.0,35
A1-A2,301.0,283.0,18.0,15
A1-A3,532.0,200.0,332.0,15
A1-A4,507.0,283.0,224.0,21
A1-A5,296.0,200.0,96.0,31
A1-A6,668.0,447.0,221.0,15
A1-A7,368.0,447.0,-79.0,17
A1-A8,444.5,200.0,244.5,18
A1-A9,260.0,200.0,60.0,33
A2-A3,468.0,200.0,268.0,34
A2-A4,271.0,400.0,-129.0,33
A2-A5,542.0,200.0,342.0,33
A2-A6,510.0,200.0,310.0,17
A2-A7,275.0,447.0,-172.0,33
A2-A8,340.0,447.0,-107.0,100
A2-A9,255.0,447.0,-192.0,34
A3-A4,523.0,200.0,323.0,33
A3-A5,562.0,283.0,279.0,33
A3-A6,261.0,283.0,-22.0,17
A3-A7,258.0,283.0,-25.0,33
A3-A8,333.0,283.0,50.0,100
A3-A9,369.5,400.0,-30.5,20
A4-A5,720.0,447.0,273.0,32
A4-A6,472.0,447.0,25.0,16
A4-A7,345.0,200.0,145.0,32
A4-A8,276.0,200.0,76.0,99
A4-A9,552.0,447.0,105.0,18
A5-A6,935.0,400.0,535.0,16
A5-A7,504.0,566.0,-62.0,32
A5-A8,798.0,400.0,398.0,83
A5-A9,258.0,283.0,-25.0,18
A6-A7,346.0,400.0,-54.0,16
A6-A8,245.0,566.0,-321.0,83
A6-A9,549.0,632.0,-83.0,18
A7-A8,267.0,400.0,-133.0,84
A7-A9,547.0,632.0,-85.0,19
A8-A9,526.0,283.0,243.0,27
